_id,COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE
635ef6f25884f45429e603c6,Brown-throated Parakeet,3.9690857,-73.0458342,1970-05-25
635ef7145884f45429e6069d,Brown-throated Parakeet,3.1746858,-75.2793878,1973-03-17
635ef72d5884f45429e608f7,Brown-throated Parakeet,10.4205726,-75.5523583,1974-04-25
635ef88d5884f45429e62682,Brown-throated Parakeet,11.5135419,-72.8535390,1976-03-23
635ef8935884f45429e626eb,Brown-throated Parakeet,10.8438333,-74.5456667,1976-03-19
635ef89f5884f45429e627f1,Brown-throated Parakeet,5.2260929,-72.3934650,1976-10-11
635ef8a45884f45429e6286b,Brown-throated Parakeet,10.4903438,-75.1164865,1977-09-06
635ef8a55884f45429e6286c,Brown-throated Parakeet,10.4264494,-75.1215506,1977-09-25
635ef8a75884f45429e628aa,Brown-throated Parakeet,9.4271326,-75.6243467,1977-11-10
635ef8c05884f45429e62ab5,Brown-throated Parakeet,3.8586635,-67.9081275,1978-09-26
635ef8c05884f45429e62ab6,Brown-throated Parakeet,3.4650929,-67.9732919,1978-09-24
635ef8c05884f45429e62ab7,Brown-throated Parakeet,3.8586635,-67.9081275,1978-09-20
635ef8c05884f45429e62ab8,Brown-throated Parakeet,3.8586635,-67.9081275,1978-09-17
635ef8c05884f45429e62ab9,Brown-throated Parakeet,3.4650929,-67.9732919,1978-09-22
635ef90e5884f45429e631e2,Brown-throated Parakeet,10.9977425,-74.6949291,1979-08-07
635ef9535884f45429e63817,Brown-throated Parakeet,11.3057760,-73.9470172,1981-12-16
635ef9535884f45429e63818,Brown-throated Parakeet,11.2096264,-74.2295023,1981-12-12
635ef95e5884f45429e6391b,Brown-throated Parakeet,11.4047479,-73.0990563,1982-03-26
635ef9675884f45429e63a08,Brown-throated Parakeet,10.9921711,-74.5622349,1982-03-24
635ef98a5884f45429e63d28,Brown-throated Parakeet,9.4747994,-73.8799667,1983-09-18
635ef98d5884f45429e63d6d,Brown-throated Parakeet,9.0315779,-74.0057087,1983-09-19
635ef9af5884f45429e6407d,Brown-throated Parakeet,11.0301680,-74.1961670,1986-01-11
635ef9d55884f45429e643ca,Brown-throated Parakeet,11.8888531,-71.6967773,1987-02-03
635ef9d55884f45429e643d9,Brown-throated Parakeet,11.0301680,-74.1961670,1987-02-02
635efc805884f45429e67e23,Brown-throated Parakeet,3.3034830,-73.3618870,1990-03-18
635efcc15884f45429e683fc,Brown-throated Parakeet,10.3973254,-75.5592012,1991-07-07
635efcdf5884f45429e68660,Brown-throated Parakeet,10.4832544,-75.4916954,1991-09-15
635efcdf5884f45429e68661,Brown-throated Parakeet,10.4527008,-75.4987335,1991-09-15
635efd025884f45429e6897b,Brown-throated Parakeet,5.6327276,-67.6446247,1992-03-30
635efd0d5884f45429e68a86,Brown-throated Parakeet,11.1481496,-74.2253729,1992-07-14
635efd305884f45429e68d5b,Brown-throated Parakeet,11.3196108,-74.0399283,1992-09-16
635efd735884f45429e6930c,Brown-throated Parakeet,11.3057760,-73.9470172,1993-05-02
635efe755884f45429e6a992,Brown-throated Parakeet,4.3915982,-71.9614792,1994-12-28
635efec85884f45429e6b0fc,Brown-throated Parakeet,6.2650401,-75.5812597,1995-05-06
635efed25884f45429e6b1d8,Brown-throated Parakeet,10.8438333,-74.5456667,1995-05-04
635efed25884f45429e6b1d9,Brown-throated Parakeet,10.8438333,-74.5456667,1995-05-05
635eff1c5884f45429e6b871,Brown-throated Parakeet,10.3426155,-75.4645300,1995-11-18
635eff1f5884f45429e6b8ae,Brown-throated Parakeet,11.2891067,-74.1639376,1995-11-24
635eff405884f45429e6bba2,Brown-throated Parakeet,10.5700189,-75.4491720,1996-01-09
635effd15884f45429e6c807,Brown-throated Parakeet,10.7450513,-74.4644200,1996-06-17
635f00705884f45429e6d68a,Brown-throated Parakeet,3.6409491,-76.3209603,1997-05-09
635f00845884f45429e6d862,Brown-throated Parakeet,4.3887741,-71.9758129,1997-07-24
635f00c15884f45429e6de15,Brown-throated Parakeet,4.1080000,-72.9840000,1997-10-03
635f00c15884f45429e6de16,Brown-throated Parakeet,3.9640000,-73.0410000,1997-10-02
635f00c15884f45429e6de17,Brown-throated Parakeet,3.9640000,-73.0410000,1997-10-03
635f011e5884f45429e6e61b,Brown-throated Parakeet,4.7106007,-72.1688798,1997-12-08
635f01465884f45429e6e903,Brown-throated Parakeet,11.4047479,-73.0990563,1998-01-07
635f014d5884f45429e6e985,Brown-throated Parakeet,10.9977425,-74.6949291,1998-01-06
635f01c55884f45429e6f2b3,Brown-throated Parakeet,11.3057760,-73.9470172,1998-04-14
635f01c55884f45429e6f2b4,Brown-throated Parakeet,11.1932211,-74.2306763,1998-04-12
635f01c55884f45429e6f2b5,Brown-throated Parakeet,11.1932211,-74.2306763,1998-04-13
635f01dd5884f45429e6f4c1,Brown-throated Parakeet,11.0061174,-74.6836423,1998-05-16
