_id,COMMON NAME,LATITUDE,LONGITUDE,OBSERVATION DATE
635ef6f55884f45429e60407,Yellow-headed Caracara,3.9690857,-73.0458342,1970-05-25
635ef6f75884f45429e6043d,Yellow-headed Caracara,2.4478329,-76.5856934,1970-06-20
635ef6fb5884f45429e60481,Yellow-headed Caracara,2.4478329,-76.5856934,1970-07-04
635ef7035884f45429e6051e,Yellow-headed Caracara,2.4478329,-76.5856934,1971-03-12
635ef7035884f45429e6051f,Yellow-headed Caracara,2.4478329,-76.5856934,1971-03-11
635ef7045884f45429e60545,Yellow-headed Caracara,2.4478329,-76.5856934,1971-04-01
635ef7055884f45429e60550,Yellow-headed Caracara,2.4478329,-76.5856934,1971-05-04
635ef7125884f45429e6067e,Yellow-headed Caracara,2.5009126,-76.5301180,1973-03-30
635ef7125884f45429e6067f,Yellow-headed Caracara,2.5009126,-76.5301180,1973-03-11
635ef7185884f45429e6070b,Yellow-headed Caracara,3.1746858,-75.2793878,1973-03-16
635ef7185884f45429e6070c,Yellow-headed Caracara,3.1746858,-75.2793878,1973-03-18
635ef7185884f45429e6070d,Yellow-headed Caracara,3.1746858,-75.2793878,1973-03-15
635ef71f5884f45429e607b3,Yellow-headed Caracara,3.8813708,-76.3508981,1973-04-21
635ef7265884f45429e60845,Yellow-headed Caracara,-4.2016549,-69.9465327,1973-08-18
635ef72b5884f45429e608be,Yellow-headed Caracara,3.8945000,-76.4948000,1973-11-03
635ef72d5884f45429e608eb,Yellow-headed Caracara,3.2076000,-76.2429000,1974-03-02
635ef7345884f45429e6099e,Yellow-headed Caracara,-4.1530016,-69.9937248,1974-07-03
635ef7345884f45429e6099f,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-07-05
635ef73d5884f45429e60a62,Yellow-headed Caracara,3.6446572,-76.6849136,1974-07-17
635ef74b5884f45429e60bb1,Yellow-headed Caracara,-4.0193862,-70.1128321,1974-08-18
635ef74b5884f45429e60bb2,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-08-27
635ef74b5884f45429e60bb3,Yellow-headed Caracara,-4.0193862,-70.1128321,1974-08-22
635ef74b5884f45429e60bb4,Yellow-headed Caracara,-4.2016549,-69.9465327,1974-08-05
635ef74b5884f45429e60bb5,Yellow-headed Caracara,-4.2016549,-69.9465327,1974-08-06
635ef7585884f45429e60cdb,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-09-28
635ef7585884f45429e60cdc,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-09-19
635ef7585884f45429e60cdd,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-09-26
635ef7585884f45429e60cde,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-09-11
635ef7585884f45429e60cdf,Yellow-headed Caracara,-3.8747658,-70.2129512,1974-09-20
635ef7645884f45429e60dcc,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-10-24
635ef7645884f45429e60dcd,Yellow-headed Caracara,-4.0193862,-70.1128321,1974-10-29
635ef7865884f45429e61092,Yellow-headed Caracara,-4.0193862,-70.1128321,1974-11-11
635ef7865884f45429e61093,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-11-15
635ef7865884f45429e61094,Yellow-headed Caracara,-4.0193862,-70.1128321,1974-11-08
635ef7865884f45429e61095,Yellow-headed Caracara,-4.2016549,-69.9465327,1974-11-03
635ef7865884f45429e61096,Yellow-headed Caracara,-4.0193862,-70.1128321,1974-11-19
635ef7865884f45429e61097,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-11-17
635ef7865884f45429e61098,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-11-13
635ef7865884f45429e61099,Yellow-headed Caracara,-4.0360433,-70.1065364,1974-11-12
635ef7975884f45429e611e7,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-05-29
635ef7975884f45429e611e8,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-05-21
635ef7975884f45429e611e9,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-05-28
635ef7975884f45429e611ea,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-05-18
635ef7c15884f45429e6159b,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-05
635ef7c25884f45429e6159c,Yellow-headed Caracara,-3.8157594,-70.2541523,1975-06-25
635ef7c25884f45429e6159d,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-14
635ef7c25884f45429e6159e,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-06-20
635ef7c25884f45429e6159f,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-19
635ef7c25884f45429e615a0,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-11
635ef7c25884f45429e615a1,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-02
635ef7c25884f45429e615a2,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-06
635ef7c25884f45429e615a3,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-17
635ef7c25884f45429e615a4,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-06-08
635ef8045884f45429e61b30,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-17
635ef8045884f45429e61b31,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-17
635ef8045884f45429e61b32,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-16
635ef8045884f45429e61b33,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-16
635ef8045884f45429e61b34,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-17
635ef8045884f45429e61b35,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-17
635ef8055884f45429e61b36,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-16
635ef8055884f45429e61b37,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-07-16
635ef8125884f45429e61c30,Yellow-headed Caracara,2.1628773,-76.5356598,1975-07-09
635ef8125884f45429e61c31,Yellow-headed Caracara,2.1628773,-76.5356598,1975-07-09
635ef8125884f45429e61c32,Yellow-headed Caracara,2.1628773,-76.5356598,1975-07-09
635ef8125884f45429e61c33,Yellow-headed Caracara,2.1628773,-76.5356598,1975-07-09
635ef8235884f45429e61da3,Yellow-headed Caracara,1.9867653,-76.4283028,1975-07-10
635ef8235884f45429e61da4,Yellow-headed Caracara,1.9867653,-76.4283028,1975-07-10
635ef8235884f45429e61da5,Yellow-headed Caracara,1.9867653,-76.4283028,1975-07-10
635ef8235884f45429e61da6,Yellow-headed Caracara,1.9867653,-76.4283028,1975-07-10
635ef8825884f45429e62571,Yellow-headed Caracara,3.6160872,-76.8839664,1975-07-13
635ef8825884f45429e62572,Yellow-headed Caracara,3.6160872,-76.8839664,1975-07-13
635ef8825884f45429e62573,Yellow-headed Caracara,3.6160872,-76.8839664,1975-07-13
635ef8825884f45429e62574,Yellow-headed Caracara,3.6160872,-76.8839664,1975-07-13
635ef88c5884f45429e6266b,Yellow-headed Caracara,-4.0360433,-70.1065364,1975-08-10
635ef88c5884f45429e6266c,Yellow-headed Caracara,-4.0193862,-70.1128321,1975-08-02
