GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS286947519,7/20/2015 21:49,32976,species,avibase-A6C0C4A9,Yellow Warbler,Setophaga petechia,,,,X,,,,,Colombia,CO,Magdalena,CO-MAG,,,,,,,Bonda,L3236747,P,11.2344752,-74.1238976,1898-08-27,,obsr553943,S21019053,Incidental,P20,EBIRD,,,,,0,,0,1,0,,"Chapman, F.M. 1907. The Warblers of North America. D. Appleton & Co., 306 ppg.  Uploaded by Dan Scheiman",First migrant seen
URN:CornellLabOfOrnithology:EBIRD:OBS57987376,8/21/2015 9:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Magdalena,CO-MAG,,,,,,,BONDA,L602970,P,11.23333,-74.13333,1898-09-06,,obsr11170,S4204770,Incidental,P20,EBIRD,,,,,0,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987378,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Magdalena,CO-MAG,,,,,,,BONDA,L602970,P,11.23333,-74.13333,1898-10-03,,obsr11170,S4204772,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987374,8/21/2015 9:18,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Magdalena,CO-MAG,,,,,,,LAS NUBES,L602969,P,11.16667,-73.93333,1898-12-31,,obsr11170,S4204768,Incidental,P20,EBIRD,,,,,0,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987377,8/21/2015 9:18,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Magdalena,CO-MAG,,,,,,,LAS NUBES,L602969,P,11.16667,-73.93333,1898-12-07,,obsr11170,S4204771,Incidental,P20,EBIRD,,,,,0,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987501,7/20/2015 22:17,32854,species,avibase-B617FE7D,Blue-winged Warbler,Vermivora cyanoptera,,,,X,,,,,Colombia,CO,La Guajira,CO-LAG,,,,,,,CHERUA = CHIRUA,L602868,P,10.8666667,-73.3833333,1899-03-21,,obsr11170,S4204895,Incidental,P20,EBIRD,,,,,0,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987498,7/20/2015 22:17,32854,species,avibase-B617FE7D,Blue-winged Warbler,Vermivora cyanoptera,,,,1,,,,,Colombia,CO,Magdalena,CO-MAG,,,,,,,Sierra Nevada de Santa Marta,L602866,P,11.2526588,-74.0869904,1899-03-21,,obsr11170,S4204892,Incidental,P20,EBIRD,,,,,0,,0,1,1,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987395,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Quindío,CO-QUI,,,,,,,EL EDEN,L602977,P,4.46667,-75.76667,10/19/1911,,obsr11170,S4204789,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987397,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Quindío,CO-QUI,,,,,,,Salento,L602979,P,4.65,-75.6,11/13/1911,,obsr11170,S4204791,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987396,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Quindío,CO-QUI,,,,,,,EL ROBLE,L602978,P,4.68333,-75.6,11/13/1911,,obsr11170,S4204790,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987391,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Meta,CO-MET,,,,,,,VILLAVICENCIO,L602973,P,4.15,-73.61333,3/11/1913,,obsr11170,S4204785,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57989140,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,La Guajira,CO-LAG,,,,,,,Chirua,L602968,P,10.9333333,-73.3666667,3/10/1914,,obsr11170,S4205196,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57989141,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,La Guajira,CO-LAG,,,,,,,Chirua,L602968,P,10.9333333,-73.3666667,3/11/1914,,obsr11170,S4205197,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS880628260,3/19/2020 9:39,8090,species,avibase-DE473F42,Swainson's Hawk,Buteo swainsoni,,,,1,,,,,Colombia,CO,Distrito Capital de Bogotá,CO-DC,,,,,,,Bogota,L10989222,P,4.6987188,-74.0741924,10/29/1916,,obsr939641,S65968541,Historical,P62,EBIRD,,,,,0,,0,1,0,,"Bent, Arthur Cleveland, 1937. Life Histories of North American Birds of Prey, Part One. Dover Publications; Transcribed and uploaded by Dan Scheiman, eBird profile https://ebird.org/ebird/profile/MTEzNTc4/world","Banded at Red Lodge, Montana, US, on September 19, 1916, and killed near Bogota, Colombia, on October 29, 1916"
URN:CornellLabOfOrnithology:EBIRD:OBS57987405,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Santander,CO-SAN,,,,,,,CACHIRI,L602985,P,7.5,-73.01667,10/29/1916,,obsr11170,S4204799,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987406,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Santander,CO-SAN,,,,,,,CACHIRI,L602985,P,7.5,-73.01667,10/30/1916,,obsr11170,S4204800,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987407,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Santander,CO-SAN,,,,,,,CACHIRI,L602985,P,7.5,-73.01667,11/9/1916,,obsr11170,S4204801,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987363,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Magdalena,CO-MAG,,,,,,,"Chinchicua, Sierra Nevada De Santa Marta; Pueblo Bello - San Sebastian Trail",L602953,P,10.5333333,-73.7166667,1/23/1946,,obsr11170,S4204757,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987367,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Norte de Santander,CO-NSA,,,,,,,"Ocana, In Valley N of Town",L602959,P,8.25,-73.33333,10/25/1946,,obsr11170,S4204761,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987368,7/20/2015 22:17,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Norte de Santander,CO-NSA,,,,,,,"Ocana, Beyond Pueblo Nuevo",L602960,P,8.2500001,-73.33333,11/4/1946,,obsr11170,S4204762,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57987392,1/29/2016 9:52,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Nariño,CO-NAR,,,,,,,RICAURTE,L602974,P,1.21667,-77.98333,1/24/1947,,obsr11170,S4204786,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57994980,4/4/2016 13:21,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Cesar,CO-CES,,,,,,,"Cerro Jaretaca, Río Negro, Sierra de Perijá",L603046,P,10.0833333,-73.0833333,11/6/1951,,obsr11170,S4205693,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57994883,4/4/2016 13:21,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Cesar,CO-CES,,,,,,,"Quirinchi, Sierra de Perijá",L603047,P,10.0666667,-73.0333333,1/26/1952,,obsr11170,S4205676,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57994981,4/4/2016 13:21,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Cesar,CO-CES,,,,,,,"Tararamo, Río Negro, Sierra de Perijá",L603048,P,10.0833333,-73.0833333,1/20/1952,,obsr11170,S4205694,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
URN:CornellLabOfOrnithology:EBIRD:OBS57989136,2/17/2017 10:54,32853,species,avibase-83F326C8,Golden-winged Warbler,Vermivora chrysoptera,,,,X,,,,,Colombia,CO,Cundinamarca,CO-CUN,,,,,,,"Pedropalo, Laguna de",L602966,P,4.75,-74.4,3/20/1954,,obsr11170,S4205192,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,
